policy,scenario,seed,clusters,requests,measured,trace_sha256,ttft_mean_s,ttft_p95_s,e2e_mean_s,e2e_p95_s,p_wait_mean_s,prefill_mean_s,d_wait_mean_s,token_hit_ratio,switch_ratio,completed_rps,drain_seconds,max_decode_batch,observation_samples,case
least_wait,hot_shift,47,8,1800,1440,f7c00c911b15c16cced09070fe8c1ae2b475575aa962f107068d6ae4a7462ba7,0.41412438004903246,1.2884129635642338,3.2900330239565916,4.787765721982623,0.039690511386286355,0.3182061975308642,0.013367565973803544,0.5544901480069009,0.7583333333333333,13.648517368121675,4.235675615756875,13,528,hot_shift_8
algorithm_one,hot_shift,47,8,1800,1440,f7c00c911b15c16cced09070fe8c1ae2b475575aa962f107068d6ae4a7462ba7,0.25953386725073735,1.1924298541715999,3.1353585133506576,4.5231479934896015,0.07423828541232289,0.1296136049382716,0.01285324677940069,0.8319077453918097,0.0,13.64990344846884,4.2222836029873605,16,528,hot_shift_8
algorithm_two,hot_shift,47,8,1800,1440,f7c00c911b15c16cced09070fe8c1ae2b475575aa962f107068d6ae4a7462ba7,0.29891725738360575,1.2277502058151413,3.1748486412282455,4.590695729185576,0.06254320556342778,0.17770002469135804,0.015835399645252237,0.7611731589939162,0.10347222222222222,13.645766993000526,4.26225720899707,16,528,hot_shift_8
round_robin,hot_shift,89,8,1800,1440,301326b695d89f5081ff4d9fabc646743ae063ebc73856f6ba5adc3fd26335b3,0.5352126570875346,1.4483408140706118,3.440949706060763,5.205509604671761,0.16476648521536652,0.31500339259259263,0.013105106890537203,0.542322111489987,0.7506944444444444,12.88211193342025,4.2260696988997495,11,559,hot_shift_8
least_wait,hot_shift,89,8,1800,1440,301326b695d89f5081ff4d9fabc646743ae063ebc73856f6ba5adc3fd26335b3,0.39023492221416145,1.2547916083531305,3.296068567329731,4.796445917332221,0.016129989275296106,0.31859598518518517,0.013187343793737224,0.5368399238899041,0.7506944444444444,12.88523597856746,4.192192276312824,12,559,hot_shift_8
algorithm_one,hot_shift,89,8,1800,1440,301326b695d89f5081ff4d9fabc646743ae063ebc73856f6ba5adc3fd26335b3,0.265932792674468,1.2081704533352209,3.1717145471656574,4.699429126015033,0.07836449374775253,0.13147252839506174,0.013800759351527445,0.8223846574103728,0.0,12.892667290798427,4.111672443960572,16,559,hot_shift_8
algorithm_two,hot_shift,89,8,1800,1440,301326b695d89f5081ff4d9fabc646743ae063ebc73856f6ba5adc3fd26335b3,0.284471001049243,1.2242706533222218,3.190344181032344,4.626508127082168,0.05116502376977685,0.17820092345679012,0.012800445760206051,0.7510785403440026,0.10972222222222222,12.884694538145817,4.198062527387435,16,559,hot_shift_8
round_robin,burst,31,8,1800,1440,d272bab780a5fa3f61f023972c439b32cb94a009a30906f9d9c10685c5f769ef,3.805788918943653,10.88305266177914,6.693969498828168,14.186416309072946,3.4351346665722184,0.310252237037037,0.017796634575607463,0.5583767601729682,0.7715277777777778,16.50363675058313,5.082298874204156,16,437,burst_8
least_wait,burst,31,8,1800,1440,d272bab780a5fa3f61f023972c439b32cb94a009a30906f9d9c10685c5f769ef,3.3745099060537123,10.265617620840928,6.262712670614393,13.213857936840519,2.9914725527390047,0.3108818666666667,0.02955236644075527,0.5574343053553609,0.7319444444444444,16.586848017066462,4.535142937491457,16,435,burst_8
algorithm_one,burst,31,8,1800,1440,d272bab780a5fa3f61f023972c439b32cb94a009a30906f9d9c10685c5f769ef,5.099896419035301,21.3860020198466,7.987935482012553,24.466308214480947,0.5760928909212097,0.13386952098765434,4.347359411782369,0.8223934656465979,0.0,14.332366780734692,21.605293480233044,16,503,burst_8
